case_index,fan_electrical_external,fan_electrical_internal,fan_mechanical_external,fan_mechanical_internal,capacitor,igbt_deltaT,igbt_arrhenius,pcb
56,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.576507158559206e-23,0.000000000000000e+00
57,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.145163281418772e-23,0.000000000000000e+00
58,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.460457625786112e-23,0.000000000000000e+00
59,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,7.459305560376576e-23,0.000000000000000e+00
60,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,7.435754483046700e-23,0.000000000000000e+00
61,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,5.969866914511733e-23,0.000000000000000e+00
62,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.265192389204400e-23,0.000000000000000e+00
63,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,1.296489633400835e-23,0.000000000000000e+00
64,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,1.867191994080906e-23,0.000000000000000e+00
65,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.198893782555359e-23,0.000000000000000e+00
66,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,9.063670094294897e-24,0.000000000000000e+00
67,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.161988154260200e-23,0.000000000000000e+00
68,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.826222128977018e-23,0.000000000000000e+00
69,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.542625389904658e-23,0.000000000000000e+00
70,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.286765201695204e-23,0.000000000000000e+00
71,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.416776658731515e-23,0.000000000000000e+00
72,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.020464832054355e-23,0.000000000000000e+00
73,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,8.073002606064425e-24,0.000000000000000e+00
74,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,8.580303308628236e-07,9.067702285347085e-24,0.000000000000000e+00
75,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,8.056777104467572e-24,0.000000000000000e+00
76,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,6.143415518992712e-24,0.000000000000000e+00
77,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.934300393780339e-24,0.000000000000000e+00
78,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.029097789102976e-24,0.000000000000000e+00
79,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.711518884700552e-24,0.000000000000000e+00
80,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.620208622991100e-24,0.000000000000000e+00
81,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.904576969051338e-24,0.000000000000000e+00
82,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.538748921883399e-24,0.000000000000000e+00
83,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,3.503581408328937e-24,0.000000000000000e+00
84,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.628676640401696e-24,0.000000000000000e+00
85,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,6.789158299367344e-24,0.000000000000000e+00
86,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,6.740928758681380e-24,0.000000000000000e+00
87,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.223263359867136e-23,0.000000000000000e+00
88,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.303227691131012e-23,0.000000000000000e+00
89,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,2.068884586615964e-23,0.000000000000000e+00
90,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.328317745931918e-23,0.000000000000000e+00
91,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,7.978818110121227e-24,0.000000000000000e+00
92,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.949944923071779e-24,0.000000000000000e+00
93,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,4.341277549420339e-24,0.000000000000000e+00
94,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,5.328424095535635e-24,0.000000000000000e+00
95,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.022032500068243e-23,0.000000000000000e+00
96,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.248201822648875e-23,0.000000000000000e+00
97,9.394244041907590e-09,2.891980705955038e-08,1.844259456800560e-07,2.762867387923218e-07,5.234146272768385e-07,0.000000000000000e+00,1.566313251197028e-23,0.000000000000000e+00
