case_index,fan_electrical_external,fan_electrical_internal,fan_mechanical_external,fan_mechanical_internal,capacitor,igbt_deltaT,igbt_arrhenius,pcb
39869,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,2.127886363948499e-06,4.667430315782686e-10
39870,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.061667958846472e-06,4.667430315782686e-10
39871,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.054304666025766e-06,4.667430315782686e-10
39872,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.061316555547829e-06,4.667430315782686e-10
39873,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.066441356280490e-06,4.667430315782686e-10
39874,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.098308260120787e-06,4.667430315782686e-10
39875,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.143744196435154e-06,4.667430315782686e-10
39876,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.179922204784669e-06,4.667430315782686e-10
39877,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.215930950867794e-06,4.667430315782686e-10
39878,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.238965569420197e-06,4.667430315782686e-10
39879,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.287210773928600e-06,4.667430315782686e-10
39880,7.691593850752005e-08,6.271340367124977e-08,3.153993676094004e-07,7.699848223396864e-07,2.344367295644485e-07,0.000000000000000e+00,1.337353604302594e-06,4.667430315782686e-10
